Temp,Humidity,LDR,Heater
34,80,68,1
25,76,70,1
24,71,68,1
32,86,76,1
21,80,74,0
22,87,77,0
27,74,80,1
27,78,32,0
29,85,29,0
26,76,76,1
19,78,31,1
20,82,64,0
28,85,73,1
22,83,73,0
28,73,79,1
33,84,16,0
27,75,78,1
31,77,27,1
30,77,78,1
21,87,71,0
18,81,76,0
29,78,76,1
21,74,20,1
22,79,26,1
31,76,77,0
23,74,16,0
33,85,17,0
28,79,25,0
23,86,85,0
28,87,64,0
28,75,70,1
28,80,26,1
29,85,79,1
26,85,21,1
30,87,38,0
31,85,72,1
33,81,15,1
33,77,81,0
33,86,18,0
28,86,25,1
21,94,75,0
28,75,69,1
32,91,76,1
29,77,80,0
24,76,20,1
29,84,75,0
26,76,26,0
21,80,23,1
21,74,31,1
33,75,77,0
23,80,71,1
19,80,33,1
18,77,29,1
22,86,77,0
32,83,25,0
23,91,83,0
23,75,29,1
23,84,75,0
30,77,69,0
18,82,79,0
36,80,72,0
35,71,70,0
33,84,70,1
34,86,83,1
32,78,11,1
20,82,27,0
27,74,77,1
31,76,28,1
28,83,77,0
32,84,24,0
23,85,72,0
21,77,30,1
30,84,35,0
19,81,73,1
25,80,17,1
35,78,26,1
23,76,76,1
25,84,22,1
24,81,78,1
37,76,22,1
20,84,19,0
33,80,25,0
25,77,72,0
34,76,15,1
23,89,19,0
33,83,76,1
27,88,33,1
18,81,25,0
25,76,29,0
29,82,69,0
31,85,30,0
27,80,26,0
21,75,74,1
33,80,74,1
25,76,27,0
25,78,16,0
31,83,73,0
32,84,25,0
29,86,28,1
28,78,65,1
27,83,71,0
18,81,32,0
27,76,15,0
24,78,79,1
32,85,70,1
30,85,68,1
28,87,74,0
25,86,15,0
26,83,74,0
27,81,31,1
23,89,21,0
24,78,72,1
26,84,81,0
20,79,26,1
20,75,28,1
33,86,20,0
34,74,79,0
23,85,25,1
32,76,26,1
26,77,77,1
34,79,72,1
32,88,73,1
37,84,25,0
21,79,69,1
34,82,66,1
32,84,28,0
22,75,18,1
21,83,76,0
32,82,71,1
22,78,28,1
26,83,83,0
30,79,26,0
27,80,80,1
30,82,73,1
20,75,81,1
21,87,77,0
25,80,26,1
32,79,60,0
30,79,78,0
26,73,26,0
26,77,70,1
20,72,80,1
23,77,19,1
21,82,30,0
28,85,27,1
27,79,71,1
27,83,77,0
30,78,73,0
27,75,17,0
18,83,71,0
26,75,72,1
21,78,23,1
29,91,77,0
20,73,20,1
27,75,24,0
24,79,16,0
27,78,83,1
20,76,30,1
34,74,75,0
23,74,68,1
31,83,79,1
28,80,28,1
26,77,74,1
21,77,25,1
25,81,76,0
32,78,15,1
20,80,25,1
33,73,23,0
20,74,30,0
36,77,70,0
29,83,73,1
21,75,84,1
24,81,76,0
27,79,72,1
25,75,31,0
21,93,25,0
22,76,20,1
29,87,69,1
32,76,84,1
30,89,22,0
31,84,27,0
27,78,73,1
23,78,62,1
25,89,29,1
32,78,77,0
36,78,82,1
36,82,32,0
24,77,72,1
32,77,35,1
34,84,21,0
30,74,21,1
32,87,76,1
32,75,27,1
34,77,72,0
21,83,25,0
33,88,71,1
24,79,26,1
30,77,78,1
32,73,86,0
27,81,75,0
23,78,72,1
23,78,26,1
35,74,69,0
33,71,74,0
28,84,73,0
